"","C_No_Treatment","C_Treatment_A","C_Treatment_B","E_No_Treatment","E_Treatment_A","E_Treatment_B"
"1",109972.621774743,281682.527353705,254143.985808364,21.4014028380578,22.9602951164308,22.111800460397
"2",125074.544477456,284696.239619604,255228.430088432,21.2596719064971,23.0756349877754,22.0687873159122
"3",119721.803451144,301045.886084539,273234.635691483,20.8274250843383,22.7903001449367,21.6214678511428
"4",108441.82840219,246535.833348758,215304.875120208,22.2694309622574,23.9999449592165,23.0051765817227
"5",106864.41647454,266521.432507833,250727.049466458,21.4681155888309,23.2081965478062,22.0062846646622
"6",109308.156872844,267988.054394562,231314.113973876,21.5111712455803,23.0371716591954,22.3223423686301
"7",111876.445211337,274461.718034479,246789.078485946,21.8530909840185,23.4870507580706,22.6590246533592
"8",118221.859877376,290840.131978974,260654.664607382,21.1361102139551,22.9246161701989,22.0321738622615
"9",106536.687322839,275583.737815346,267050.168829561,21.5263737475832,22.9956371908536,21.9372631556106
"10",119749.070277509,309256.889207922,280790.263991364,20.8185259778073,22.5193764974621,21.6146960215722
"11",117042.749538274,304174.942708479,274854.299283732,19.96209029651,21.9278443090945,20.8610596623237
"12",110572.856137141,253062.295734003,218222.60979515,22.2340657829547,24.0452928493222,22.9912334305296
"13",115711.059552163,324587.127891693,296650.860121641,20.0820778490371,21.6614004316761,21.0537933324867
"14",120241.978341565,316054.515677379,300095.480349474,20.5512775003233,22.2602924062716,21.3097456125393
"15",101060.304075813,249866.333639209,219574.522157468,22.1491241916581,23.6483056726452,22.9567552183628
"16",115687.908907859,279589.985252919,246458.436056335,21.3657405854424,23.2397768781747,22.0080933187712
"17",99013.4943247081,235433.744615395,212101.479340313,22.3904952532197,23.8819082456771,23.1996344776636
"18",108560.837494643,262834.317261317,246827.808647712,20.9753243291995,22.5965666930649,21.7970463944891
"19",131455.038305421,340352.800329356,302855.675915555,20.2537834604781,22.5960970899321,20.7207231896483
"20",121043.785960087,297127.355416428,285890.133081554,20.4444625961552,22.3179326980214,21.158966001062
"21",100343.280671073,259508.647387271,233094.797169918,22.146598973783,23.5953690912761,22.9091508204332
"22",106391.990196705,258693.042561276,246973.348348445,22.2532785599377,23.6838447886947,22.7043085449629
"23",117742.931385883,302325.598620928,305880.36466607,20.7659671959622,22.3302800556928,21.2511633691996
"24",105877.293808642,248033.672067792,221216.953015559,21.7593744754038,23.3150331733419,22.5115694203651
"25",121784.172152463,266605.704675532,252910.021535166,21.3681921778138,23.3288069492524,22.0182183726423
"26",114091.412253495,283524.681021362,260010.368053047,20.60152424333,22.5969295331385,21.6066560286896
"27",118279.105326486,299916.874198841,271379.945095895,20.5246583204566,22.2924983997615,21.3745810725617
"28",119978.792939526,294669.769192492,266687.184308177,21.1034393543596,23.0364344741616,21.6521542326611
"29",109762.445711444,282017.986463609,269531.448310006,21.2695039653722,22.8159889889824,21.8682421176725
"30",109320.829318589,295101.338593513,275231.622094175,20.3532021173995,22.004480213168,21.4048045741174
"31",119456.069466888,283102.122022608,257081.672773843,20.9523367412075,23.0013322127776,21.6597291427436
"32",127634.997639261,315406.549533297,302306.259327509,20.5297295846538,22.5654165737044,21.180912516125
"33",128189.836228117,306226.108078949,297988.556479401,19.9287343184739,22.3258860746173,20.5219219388413
"34",104714.3989081,257018.698833847,230931.670150758,21.5353413896028,23.057574746346,22.3975589910059
"35",102354.963471941,257616.56140785,224132.536860806,21.7951562485245,23.4995333428151,22.5904448954603
"36",116221.384734334,300635.711664143,268610.353219612,21.3276761590765,23.1082303313496,21.9241120084039
"37",106467.500705949,295514.5271628,273653.093897643,20.6153540663642,22.3420709942122,21.1028934162522
"38",126229.28225879,307492.357952459,266951.715867377,20.4685786058454,22.5639803411126,21.3679632348863
"39",112513.161053012,309333.887724713,257804.553873323,20.3837339079165,21.8146527157941,21.4750688130914
"40",109970.236625236,286045.854597517,268210.307923638,20.7280819560998,22.5306188966878,21.4768261701402
"41",108164.180422036,273525.2634052,261937.141010881,20.51315292664,22.2041952102466,21.1735554132284
"42",94911.2174848547,234342.110132604,192898.615600495,22.8493152843567,24.1123202284784,23.7135779652478
"43",104254.622061541,269608.591637291,246360.563679152,21.1435652605735,22.6836503722818,22.0618416639068
"44",127118.614024225,316207.51563471,280379.130431777,20.8402550296683,22.4509420683123,21.813009174222
"45",117249.174458013,279200.131126779,251294.035461091,20.9595236735749,22.7241458205192,21.7759930880304
"46",125337.600619712,290264.179429769,268075.172398836,21.127288330313,22.8824638689438,21.8094642151726
"47",109696.105111891,297449.556936706,259826.708888129,21.2256164492786,22.7881517577176,22.0232166529401
"48",116968.041705469,277236.412682547,236881.190781015,21.261440047386,23.1747601975076,22.0231758555416
"49",107619.606997354,247622.240245963,228050.08728705,22.3955773743801,24.04575457855,22.9992599234524
"50",104029.095117252,271933.141090987,227804.318684776,21.6924800257283,23.5409156290986,22.6034874299453
"51",109781.998806801,316820.984535683,299517.132525952,19.2014093295039,21.2540097925584,19.9934172023654
"52",119529.427676395,300913.930992765,289454.478072437,20.021960349521,22.0020430347315,20.9239350412075
"53",109575.312516115,275367.797632563,257026.564048586,21.1000968799009,22.7380648175233,21.8179608870634
"54",111082.369498161,237696.1675775,202944.253284895,22.6764856269636,24.2381294997584,23.4634193899418
"55",124749.550629651,328428.979807903,309192.742721313,19.9591845551791,21.8483381263456,20.4710358074173
"56",119636.036399193,329084.434063818,298762.212691745,19.6718206413332,21.6333410582492,20.390871606007
"57",117277.029577292,277536.961155321,242462.494251795,20.7239900001165,22.6667533048468,21.5094165953536
"58",123209.124071614,266286.581864774,255145.199367383,21.8934739727789,23.4516130923189,22.5699017707932
"59",113034.664772738,303574.441772624,272823.214772562,20.587317042185,22.2657887754835,21.5836568755125
"60",118781.149281625,276844.813643324,259574.014710525,21.5214592377054,23.1888023029579,22.2059811153838
"61",96463.119605772,225673.798753542,207185.78841058,23.1192678856495,24.3930807948985,23.8189028654521
"62",120605.183690978,290814.244879983,280504.836394333,20.9752008438876,22.7930850664854,21.7663874306935
"63",112742.744351539,288649.28557044,266205.763598842,20.2023016756401,21.9318797804325,21.2340830888875
"64",117696.708954933,327032.861105889,308032.424555321,20.3015764628919,22.0152010336881,20.8609585539901
"65",100933.861729459,225209.303250871,194345.767263714,22.8348386933055,24.0338083024029,23.7961680728119
"66",113617.940177401,286511.483735938,264714.405405468,20.5811924711098,22.4861539893966,21.1845743737526
"67",113403.116407589,272297.156023731,245279.654594991,21.763875464712,23.3106219836507,22.5111844182272
"68",117837.204311082,282954.539028293,256599.502924284,20.9303006485522,22.999594194865,21.8420372309349
"69",115732.811472706,297334.638238619,280853.571483257,20.8881016313537,22.5869070610159,21.4887537992148
"70",116569.553005836,272502.81809453,275191.750057744,21.3070958537935,23.1703560918485,21.7445310483749
"71",103056.872838364,264023.53454822,230788.443879213,21.3827106512414,22.8654358018928,22.3413911066344
"72",112842.28077539,248425.977034204,220430.151987174,22.1282509943242,23.7070929507155,22.91010840514
"73",118585.276167069,312121.148461095,289490.840996819,20.958376487872,22.4659291474517,21.9460325469504
"74",114255.049669894,284295.93748642,273853.529043131,21.0498418953385,22.7765242164128,21.8320798588209
"75",113461.502360797,259716.039440004,237886.647170807,21.4659744473429,23.0126844423036,22.3198951235505
"76",117713.97446735,280936.150748636,267810.775388683,21.4884187799021,22.9679936005556,22.0159284934
"77",120161.418536038,273056.800438385,251676.679436687,21.1705044330574,23.0488304889504,22.1235221413896
"78",117226.461426593,285922.223316343,276828.309274557,21.3246692181199,23.0776620227727,21.9902280875923
"79",109550.985139536,265953.589807629,246080.247321232,21.6754174955557,23.3542349184688,22.5300662634659
"80",107622.581068698,264419.827056479,227392.756493307,21.8170899575416,23.4968659407493,22.7065632738428
"81",107537.633059227,287402.032835015,248201.294195342,20.9481521094946,22.7413008721217,21.8559404922347
"82",110695.098447165,308654.359961933,279483.869539584,20.0283876417881,21.8755568004682,20.9706592275014
"83",102563.326277355,257486.318650175,227264.820729238,21.636547844222,23.2413639601835,22.6229977875412
"84",110303.3978959,262506.395740525,235453.260819865,21.4331110198678,23.064944059627,22.4127301308899
"85",110487.540805149,250130.740341169,240601.939505842,21.8226608617009,23.5228083352604,22.5010118877272
"86",109573.717115683,270947.040318592,241052.64196011,21.4386698818486,22.8673818928021,22.5465328578563
"87",107516.502130182,266249.289118741,252745.105423121,21.199013501234,23.1245674036283,21.9296990563643
"88",104664.002165973,272624.455914985,246731.004516226,21.583624791988,23.117930887399,22.2985497915825
"89",119877.111360358,279105.801056983,249162.767181182,21.0271974737913,22.7780517051371,22.0077187876938
"90",119236.964175989,286795.853747387,262828.36807087,21.301300788631,22.8246635379643,22.2105800351612
"91",119359.00506305,287154.545245014,262805.297705617,21.8129960293965,23.3530486104004,22.4482651616661
"92",119055.662354576,316124.4580311,287645.199692924,19.9917393997437,21.727659104772,20.8773916053135
"93",110636.831819635,289761.412393508,241940.070220986,21.2150861627695,22.8755138032762,22.0382759999173
"94",113563.983101103,260132.432548862,227142.005064325,21.6381712353859,23.1431073201272,22.4466876974067
"95",119728.321763633,297873.403051503,276654.529034213,20.5391318173681,22.6742762658718,21.2433241142549
"96",119954.920026968,298073.123137029,264613.138407472,20.6190100580005,22.6908034150697,21.5654864402348
"97",104092.48631047,280086.345668569,246273.432461723,20.8407723185287,22.4900232938122,21.9051440606518
"98",101848.253092952,234906.432415657,212016.750797627,22.5334401136905,23.8123558187356,23.3931896480316
"99",131840.555329649,304318.459639282,294902.020087205,20.70999696568,22.6692056584471,21.3779393051013
"100",104556.776630908,268432.90917819,245329.23380833,21.5434052216492,22.8582501858548,22.3562644553771
"101",102406.327384017,237121.760726872,206672.086959151,22.6342729406967,23.9582014982747,23.5088072628371
"102",117034.563306536,296453.65218625,276326.324720601,20.5973531636318,22.1274407488718,21.5403550789577
"103",116197.721988659,298031.505440847,273256.959432623,20.6703540577898,22.3095122669432,21.3420032995758
"104",126017.683556634,299199.113706414,277635.214863708,20.6367496005451,22.6482399707099,21.4317417138101
"105",122325.959755219,273560.682146978,249028.265747295,21.0375587016869,22.944011621458,21.7882015417732
"106",120122.309414605,297260.571363026,270710.453909933,21.14815318987,22.8570397693821,21.7552880394183
"107",110430.948298156,287984.574564978,259452.689792943,21.7452744332767,23.1079119664227,22.4768850756564
"108",111034.212823725,261743.683956531,248456.893708389,21.584259373126,23.4464470656162,22.27077101697
"109",108478.403621814,270525.802924933,228660.032921095,21.6433060489573,23.3508809665694,22.3303048906939
"110",115738.646212062,273356.32659975,245660.343967767,21.4996326285068,23.2543670099212,22.1968149909645
"111",122183.066649627,275410.954609263,259255.220404699,21.0262053146909,22.8123620889574,21.7795650588601
